序号,招标日期,项目名称,采购人,采购内容,采购所属行业,预算金额(万元),中标价格(万元),中标单位,数据来源平台,省份/地区
1,2024-10,湖北荆州经开区低空经济产业基础设施建设项目工程总承包,荆州经开区,低空经济产业基础设施建设,低空经济基建,88000,-,待公布,湖北省公共资源交易平台,湖北
2,2024-08,深圳低空智能融合基础设施建设项目一期工程,深圳市交通运输局,智能融合系统软件平台、管服中心、数据中心,低空空管系统,51800,-,深城交等联合体,中国政府采购网,广东
3,2024-11,深圳低空经济数字基础设施招标,粤港澳大湾区数字经济研究院,低空经济数字基础设施建设,低空经济基建,14393.1,-,待公布,深圳政府采购,广东
4,2024-11,深圳低空空域数据收集、空域评估及划设方案,深圳市交通运输局,低空空域数据收集与评估,低空空域规划,570,570,北京东进航空科技股份有限公司,中国政府采购网,广东
5,2024-08,深圳城市低空航空器运行安全管理体系建设,深圳市交通运输局,安全管理体系建设,低空安全管理,297.754,297.754,深圳市城市公共安全技术研究院等联合体,中国政府采购网,广东
6,2024-10,深圳南山区低空协同感知系统试验点项目,深圳市南山区粤海街道办事处,低空协同感知系统,低空感知系统,6754.09,-,待公布,深圳政府采购,广东
7,2024-08,绍兴市低空飞行综合服务平台建设运行项目,绍兴大两湖开发建设有限公司,低空飞行综合服务平台,飞行服务平台,990,990,华航信航空科技(浙江)有限公司,中国政府采购网,浙江
8,2024-12,安吉县低空经济基础设施信息化（一期）项目,安吉交投数智科技有限公司,低空经济基础设施信息化,低空基础设施,802.03,-,待公布,浙江省公共资源交易平台,浙江
9,2025-04,绍兴越城区全域低空新基建一期（低空经济综合体）工程总承包,绍兴鉴水科技城开发建设有限公司,低空经济综合体工程,低空经济基建,42000,-,待公布,浙江省公共资源交易平台,浙江
10,2024-04,杭州市检验检测助力低空经济发展工作,杭州市市场监督管理局,检验检测服务,低空经济服务,-,-,待公布,杭州市政府采购网,浙江
11,2024-11,天津北辰低空空域信息网系统工程项目,天津蜂飞发展有限公司,低空空域信息网系统建设,低空空管系统,10500,-,待公布,天津市公共资源交易平台,天津
12,2024-06,四川"智慧巴中"低空数字综合应用系统建设项目,巴中市相关部门,低空数字综合应用系统,低空综合应用,12000,-,待公布,四川省公共资源交易平台,四川
13,2025-03,"智慧巴中"低空数智安全底座应用系统建设项目,巴中市相关部门,低空数智安全底座,低空安全系统,1400,-,待公布,四川省公共资源交易平台,四川
14,2024-08,江苏省低空飞行服务中心设计深化项目,江苏省相关部门,飞行服务中心设计,飞行服务中心,90,-,待公布,江苏省招标投标公共服务平台,江苏
15,2024-12,无锡市低空经济空域划设和航线规划,无锡市交通运输局,空域划设和航线规划,空域规划,80,-,待公布,无锡市公共资源交易平台,江苏
16,2025-01,南京市公安局浦口分局低空警务装备项目,南京市公安局浦口分局,低空警务装备,低空警务,63.78,63.78,山东博远视讯信息技术有限公司,中国政府采购网,江苏
17,2024-08,昆山高新区低空经济发展服务采购,昆山高新区管委会,低空经济发展服务,低空经济服务,200,-,待公布,江苏省公共资源交易平台,江苏
18,2025-03,南京无人机行业数据收集分析系统项目,南京市相关部门,无人机数据分析系统,无人机监管,301.22,-,待公布,南京市公共资源交易平台,江苏
19,2025-03,溧阳市低空飞行服务中心项目,溧阳市相关部门,低空飞行服务中心,飞行服务中心,530,530,中国移动通信集团江苏有限公司常州分公司,江苏省公共资源交易平台,江苏
20,2024-06,北京本市低空经济发展研究,北京市发展和改革委员会,低空经济发展研究,低空经济研究,30,30,投资北京国际有限公司,中国政府采购网,北京
21,2024-08,密云区低空经济高质量发展路径研究,北京市密云区发展和改革委员会,低空经济发展研究,低空经济研究,49.7,49.7,中航咨询（北京）有限公司,中国政府采购网,北京
22,2024-08,北京市无人机集群森林防灭火服务项目,北京市园林绿化局,无人机森林防灭火,低空应用服务,5024.4,5024.4,北京天枢通达科技有限公司,中国政府采购网,北京
23,2024-11,北京市森林防火无人机采购(长航时),北京市园林绿化局森林防火事务中心,长航时防火巡护无人机,无人机采购,426.8,426.8,北京远度互联科技有限公司,中国政府采购网,北京
24,2025-01,北京低空技术智能防御及配套设施,北京市相关部门,低空技术智能防御,低空安全系统,23000,-,待公布,北京市公共资源交易平台,北京
25,2024-10,广东省低空经济和商业航天产业项目谋划,广东省发展和改革委员会,低空经济产业规划,低空经济规划,400,-,待公布,广东省政府采购网,广东
26,2024-10,清远低空飞行综合管理服务平台建设项目,清远市清城区顺拓投资集团有限公司,低空飞行综合管理平台,飞行管理平台,697,-,待公布,广东省公共资源交易平台,广东
27,2024-10,重庆市低空空域规划编制项目,重庆市相关部门,低空空域规划编制,空域规划,650,-,待公布,重庆市招标投标综合网,重庆
